# ieee-iab.txt -- Ethernet vendor IAB file for arp-scan
#
# This file contains the Ethernet vendor IABs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an IAB-vendor mapping in the form:
#
# <IAB><TAB><Vendor>
#
# Where <IAB> is the first 36 bits of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-iab at 2018-12-24 19:37:33
# using data from http://standards-oui.ieee.org/iab/iab.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
0050C2DD6	Transas Marine Limited                       
0050C2131	EMAC, Inc.                                   
0050C21AE	Autonomous Solutions, Inc                    
0050C21AD	WICHER DIGITAL TECHNIK                       
0050C21AF	Vigitron Inc.                                
0050C21AA	Broachlink Technology Co.,Limited            
0050C250D	Shenzhen MaiWei Cable TV Equipment CO.,LTD.  
0050C21CC	NKT Photonics A/S                            
0050C2EE6	Narinet, Inc.                                
0050C21E3	Mega Electronics Ltd                         
0050C21C4	QED Advanced Systems Limited                 
0050C21DE	Vidisys GmbH                                 
0050C21D1	Founder Broadband Network Service Co.,Ltd.   
0050C21D4	Prisma Engineering srl                       
0050C21BF	shanghai mingding information tech co.Ltd    
0050C21B7	TEWS Elektronik GmbH & Co. KG                
0050C2149	Engage Technologies                          
0050C2146	Pleiger Elektronik GmbH  and Co. KG          
0050C2198	devboards GmbH                               
0050C218E	Kerun Visual Technology Co., Ltd.(Shenzhen)  
0050C218B	Diagnosys Test Systems Ltd                   
0050C2177	TRI Engineering co.,ltd.                     
0050C2174	EcoGuard AB                                  
0050C215B	SQF Spezialelektronik GmbH                   
0050C2158	Exibea AB                                    
0050C2153	BlinkPipe Ltd                                
0050C217E	TOKHATEC                                     
0050C2181	eROCCA                                       
0050C21A3	Noritake Itron Corporation                   
0050C21A5	DemoPad                                      
0050C21A4	cibite AG                                    
0050C21A0	Futaba Corporation                           
0050C2127	LIGHTSTAR                                    
0050C2124	Debug s.r.l.                                 
0050C211D	ACD Elektronik GmbH                          
0050C2101	e.p.g. Elettronica Srl                       
0050C20F7	Comline Elektronik Elektrotechnik GmbH       
0050C2140	InnoTrans Communications, Inc                
0050C213C	shanghai Anjian Information technology co. , ltd.
0050C2139	WOW System                                   
0050C2134	digitech GmbH &amp; Co. KG                   
0050C210B	So-Cool Corporation.                         
0050C20EE	Siegmar Zander HuSWare                       
0050C20EB	WANTECH Networks                             
0050C212A	Jadpod Communication Company Limited         
0050C20BE	Manufacturing System Insights Inc            
0050C20B5	DATA SHARING CONSULTING                      
0050C20B3	T.W.S. srl                                   
0050C20B4	MITSUBISHI ELECTRIC SYSTEM & SERVICE CO.,LTD.
0050C20B0	Micrologic                                   
0050C20D4	Mitsubishi Heavy Industries, Ltd.            
0050C20CC	ATEME                                        
0050C20E1	STV Electronic GmbH                          
0050C20DE	VPG                                          
0050C20AA	Thermal Imaging Radar, LLC                   
0050C20A6	Alumbra Produtos Elétricos e Eletrônicos Ltda
0050C2087	Bestel China                                 
0050C2084	Papendorf Software Engineering GmbH          
0050C20C2	SC Techswarm SRL                             
0050C20BF	Shenzhen SETEC Power Co.,Ltd                 
0050C20BD	iCOGNIZE GmbH                                
0050C208F	Excelitas                                    
0050C20A9	Apantac LLC                                  
0050C20A3	Telefrank GmbH                               
0050C209C	Keyware Solutions Inc.                       
0050C2099	idcell co.ltd                                
0050C2065	Parallel Wireless                            
0050C204F	Haein S&S Co., Ltd                           
0050C204C	Serveron Corporation                         
0050C2042	Mango Communicaitons Inc.                    
0050C205B	Data Flow Systems, Inc.                      
0050C205A	Ultra Electronics Flightline Systems         
0050C2059	COLONIAL ASSEMBLY and  DESIGN                
0050C2056	GROUP 57                                     
0050C2050	ATG UV Technology                            
0050C207D	Wuxi SiNeng New Energy Co., Ltd.             
0050C207A	4embedded                                    
0050C2070	JSC Electrical Equipment Factory             
0050C2068	Oki Seatec Co., Ltd.                         
0050C202B	Nomatronics                                  
0050C2023	Shanghai o-solution electronics & Technology Co., Ltd.
0050C2020	ENTEC Electric & Electronic CO., LTD.        
0050C2016	Par-Tech, Inc.                               
0050C2011	Flexim Security Oy                           
0050C203F	UniSVR Global Information Technology Corp.   
0050C2035	Mesotech International, Inc.                 
0050C2064	HIPODROMO DE AGUA CALIENTE, S.A. DE C.V.     
0050C2063	Protonic Holland                             
0050C2FBC	Leroy Somer                                  
0050C2FBB	ACIDA GmbH                                   
0050C2FB2	Preston Industries dba PolyScience           
0050C2FA1	N-Hands GmbH und Co KG                       
0050C2F9B	NEWELL TECHNOLOGIES LIMITED                  
0050C2F99	Dr. Neumann elektronik GmbH                  
0050C2F9A	Telvent                                      
0050C2FD0	Simple Solutions                             
0050C2FCF	DINTEK Shanghai Electronic Ltd               
0050C2FEE	Sparks Instruments SA                        
0050C2FED	LOGISOL Kft.                                 
0050C2FE4	RTT Mobile Interpretation                    
0050C2FE3	Private                                      
0050C2009	ClearSite Communications Inc.                
0050C2001	Vemotion                                     
0050C2000	XRONOS.INC                                   
0050C2FB1	MATELEX                                      
0050C2FA2	Power-One                                    
0050C2FA7	Exelis Inc.                                  
0050C2FA8	Yash SiQure Technologies India Pvt. Ltd.     
0050C2FF7	Human Intech                                 
0050C2FF8	KST technology                               
0050C2FDA	ELAN SYSTEMS                                 
0050C2FD9	Figment Design Laboratories                  
0050C2FC5	Sakura Seiki Co.,Ltd.                        
0050C2F19	Netlink Bilisim Sistemleri San. ve Tic. Ltd. Sti.
0050C2F72	MaxDeTec AG                                  
0050C2F73	DELTACAST.TV                                 
0050C2F69	Safe Place Solutions Ltd                     
0050C2F68	Newtec A/S                                   
0050C2F37	Rosslare Enterprises Limited                 
0050C2F54	Hella Gutmann Solutions GmbH                 
0050C2F86	Audio Power Labs                             
0050C2F7D	D-Hike Electroncs Technology Co.,Ltd         
0050C2F7C	Atonometrics, Inc.                           
0050C2F90	SecureTech Systems, Inc.                     
0050C2F91	RE2 Inc                                      
0050C2F5F	BORYEU TECHNOLOGY CO.,LTD                    
0050C2F5E	Y-cam Solutions Ltd                          
0050C2F4A	Z-App Systems, Inc.                          
0050C2F4B	Supranet                                     
0050C2F40	iBWorld co.,ltd.                             
0050C2F3F	DENSEI COMMUNICATION Inc.                    
0050C2F23	Electro-Motive Diesel                        
0050C2EC0	UgMO Technologies                            
0050C2EDD	EBNEURO SPA                                  
0050C2EDC	Eyelock Corporation                          
0050C2EDB	BELIK S.P.R.L.                               
0050C2EE7	syes srl                                     
0050C2EFB	Norbit ODM AS                                
0050C2EF1	Saia-Burgess Controls AG                     
0050C2EA2	ThinkRF Corp                                 
0050C2EB6	Monsoon Solutions, Inc.                      
0050C2EAC	Alias ip                                     
0050C2ECA	BitWise Controls                             
0050C2F0F	AeroVision Avionics, Inc.                    
0050C2F05	ESI Ventures                                 
0050C2E84	ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd.
0050C2E7A	Lightel                                      
0050C2E79	MCS MICRONIC Computer Systeme GmbH           
0050C2E32	Oshoksh Corporation                          
0050C2E50	Tattile srl                                  
0050C2E46	Industrea Mining Technology                  
0050C2E1E	Lo-Q plc                                     
0050C2E5A	FUTEC INC.                                   
0050C2E6E	Power-One Italia S.p.A                       
0050C2E28	Teplovodokhran                               
0050C2DD9	Metraware                                    
0050C2DD7	Tornado Modular Systems                      
0050C2DCF	MCS Engenharia ltda                          
0050C2DCD	dilitronics GmbH                             
0050C2DCC	Instrumentel Limited                         
0050C2DED	Lee Laser                                    
0050C2DEB	Ruwisch & Kollegen GmbH                      
0050C2DEA	Cerner Corporation                           
0050C2DC5	Saia-Burgess Controls AG                     
0050C2DC2	TESSERA TECHNOLOGY INC.                      
0050C2DC3	ZED Ziegler Electronic Devices GmbH          
0050C2DBB	Esensors, Inc.                               
0050C2DB9	Peek Traffic Corporation                     
0050C2DE3	Breakaway Systems LLC                        
0050C2DE0	INTERNET PROTOCOLO LOGICA SL                 
0050C2E13	Automation Assist Japan Company              
0050C2E14	Calixto Systems Pvt Ltd                      
0050C2DB8	Comsat VertriebsgmbH                         
0050C2DB1	RF Code, Inc                                 
0050C2DAD	Keith & Koep GmbH                            
0050C2DAE	Spang Power Electronics                      
0050C2D55	Sterna Security                              
0050C2D87	Electrolight Shivuk (1994) Ltd.              
0050C2D4B	Indra Australia                              
0050C2D4A	ATH system                                   
0050C2DA5	megatec electronic GmbH                      
0050C2D91	CHAUVIN ARNOUX                               
0050C2D7D	Voltech Instruments                          
0050C2D73	Saia-Burgess Controls AG                     
0050C2D69	GHL Systems Bhd                              
0050C2CA6	Vidisys GmbH                                 
0050C2CA7	Thermo Fisher Scientific                     
0050C2C9D	Radius Sweden AB                             
0050C2C9C	Saia-Burgess Controls AG                     
0050C2D04	Tehama Wireless                              
0050C2D03	Peekel Instruments B.V.                      
0050C2CFC	Tritium Pty Ltd                              
0050C2CFD	AIRFOLC,INC.                                 
0050C2CF3	Daiken Automacao Ltda                        
0050C2CF2	Weiss Robotics GmbH & Co. KG                 
0050C2CF0	Inviso B.V.                                  
0050C2CEF	Lupatecnologia e Sistemas Ltda               
0050C2CE9	Private                                      
0050C2CE8	Thomas & Betts                               
0050C2CE5	Maretron, LLP                                
0050C2CE4	TEKTRONIK                                    
0050C2CC5	Tecnovum AG                                  
0050C2CBB	Coptonix GmbH                                
0050C2CD8	IT-IS International Ltd.                     
0050C2CD9	NDC Infrared Engineering, Inc.               
0050C2CD7	Saia-Burgess Controls AG                     
0050C2CCE	Mac-Gray Corporation                         
0050C2CCF	TASK SISTEMAS DE COMPUTACAO LTDA             
0050C2CCD	FUJI DATA SYSTEM Co.,Ltd.                    
0050C2CB0	Konsmetal S.A.                               
0050C2CB1	ZK Celltest Inc                              
0050C2C93	SENSAIR Pty Ltd                              
0050C2C92	EMAC, Inc.                                   
0050C2C89	Creative Micro Design                        
0050C2C88	CSI Controles e Sistemas Industriais Ltda.   
0050C2C51	InForce Computing, Inc.                      
0050C2C4E	Elaso AG                                     
0050C2C4D	Industrial Automation Systems                
0050C2C47	Weltek Technologies Co. Ltd.                 
0050C2C44	Beijing Zhongherongzhi Elec.&Tech.Co.,Ltd.   
0050C2C43	Cammegh Limited                              
0050C2C3D	PLA ELECTRO APPLIANCES PVT. LTD.             
0050C2C7C	Scienlab Electronic Systems GmbH             
0050C2C7D	TAE Antriebstechnik GmbH                     
0050C2C7E	Buerkert Werke GmbH                          
0050C2C79	CODESYSTEM Co.,Ltd                           
0050C2C75	Rovsing A/S                                  
0050C2C76	GridManager A/S                              
0050C2C6B	SiGarden Sp z o.o.                           
0050C2C6F	MSB Elektronik und Geraetebau GmbH           
0050C2C65	Micro I/O Servicos de Electronica, Lda       
0050C2C62	Zeus Systems Private Limited                 
0050C2C61	HaiVision Systems Incorporated               
0050C2C5B	MICRO TECHNICA                               
0050C2C57	High Speed Design, Inc.                      
0050C2C58	Foerster-Technik GmbH                        
0050C2BE8	VEHICLE TESTING EQUIPMENT, S.L.              
0050C2BDE	Evo-Teh d.o.o.                               
0050C2C39	SECAD SA                                     
0050C2C2D	Digitale Analoge COMponenten West Electronic Vertriebs GmbH
0050C2C2C	bach-messtechnik gmbh                        
0050C2C23	Vidicon LLC                                  
0050C2C22	Audient Ltd                                  
0050C2C18	Linuxstamp Designs, LLC                      
0050C2C0F	DYCEC, S.A.                                  
0050C2BFC	Altronix Corporation                         
0050C2BFB	ECS Srl                                      
0050C2BF1	Amatic Industries GmbH                       
0050C2BF2	Saia-Burgess Controls AG                     
0050C2C10	Keith & Koep GmbH                            
0050C2C06	ANALOG WAY                                   
0050C2C05	Doppler Systems LLC                          
0050C2ABA	Saia-Burgess Controls AG                     
0050C2AB0	FRAKO Kondensatoren- und Anlagenbau GmbH     
0050C2AA6	Bassett Electronic Systems ltd               
0050C2AE2	Power Medical Interventions                  
0050C2AD8	Incyma                                       
0050C2ACE	ChronoLogic Pty. Ltd.                        
0050C29F8	Austco Communication Systems Pty Ltd         
0050C29F7	Dave Jones Design                            
0050C29EE	Michael Stevens & Partners Ltd               
0050C29F3	Vision Technologies, Inc.                    
0050C29F4	FSR Inc.                                     
0050C29ED	Picell B.V.                                  
0050C29EA	SISMODULAR - Engenharia, Lda                 
0050C29E9	Ciemme Sistemi Spa                           
0050C29E4	Pyxis Controls WLL                           
0050C29E0	DST Swiss AG                                 
0050C29E3	SAI Informationstechnik                      
0050C29DA	NEUTRONIK e.K.                               
0050C29D9	CNS Systems, Inc.                            
0050C29D5	Netpower Labs AB                             
0050C29D6	Innovation, Institute, Inc                   
0050C2A4D	LevelStar LLC.                               
0050C2A4C	VasoNova, Inc.                               
0050C2A43	NKS Co.Ltd.                                  
0050C2A42	RealVision Inc.                              
0050C2A3D	OWANDY                                       
0050C2A38	Tred Displays                                
0050C2A39	Industrial Data Products Ltd                 
0050C2A75	JTL Systems Ltd.                             
0050C2A74	DSP DESIGN LTD                               
0050C2A6A	Infocrossing                                 
0050C2A1C	Microtechnica                                
0050C2A1B	Realtime Systems Ltd.                        
0050C2A11	OJSC Rawenstvo                               
0050C2A12	HCE Engineering S.r.l.                       
0050C2A15	Industrial Computing Ltd                     
0050C2A07	Dynon Instruments                            
0050C2A08	LabJack Corporation                          
0050C2A02	Reference, LLC.                              
0050C2A01	Patronics International LTD                  
0050C29FE	SPECTRA EMBEDDED SYSTEMS                     
